,date,state,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease
2200,2020-08-25,IL,1680,39179,3782467,40859
2201,2020-08-25,IN,829,8114,1010981,8943
2202,2020-08-25,KS,0,0,386957,0
2203,2020-08-25,KY,669,7335,775468,7896
2204,2020-08-25,LA,550,21031,1794062,21581
2205,2020-08-25,MA,398,22425,1614402,34873
2206,2020-08-25,MD,377,7595,1255565,7972
2207,2020-08-25,ME,12,2506,237374,2518
2208,2020-08-25,MI,951,23330,2579175,24281
2209,2020-08-25,MN,409,4307,1072526,8473
2210,2020-08-25,MO,692,3674,924078,4366
2211,2020-08-25,MP,0,0,12921,0
2212,2020-08-25,MS,801,3798,547261,4599
2213,2020-08-25,MT,135,2699,236507,2834
2214,2020-08-25,NC,1345,13319,2102359,14664
2215,2020-08-25,ND,234,1352,193593,3087
2216,2020-08-25,NE,158,723,340481,881
2217,2020-08-25,NH,16,1626,199871,2794
2218,2020-08-25,NJ,302,20781,2697895,21083
2219,2020-08-25,NM,73,4428,723801,4501
2220,2020-08-25,NV,403,2202,579282,2605
2221,2020-08-25,NY,629,66626,7750445,67255
2222,2020-08-25,OH,844,22830,2027874,23674
2223,2020-08-25,OK,650,17324,830831,17974
2224,2020-08-25,OR,236,4436,528009,4672
2225,2020-08-25,PA,561,11806,1575205,12367
2226,2020-08-25,PR,102,0,336692,102
2227,2020-08-25,RI,70,3045,257789,5713
2228,2020-08-25,SC,937,8693,906107,9630
2229,2020-08-25,SD,134,136,137733,270
2230,2020-08-25,TN,813,14445,2074612,15258
2231,2020-08-25,TX,6346,47338,4724559,53684
2232,2020-08-25,UT,403,3842,630599,4245
2233,2020-08-25,VA,1005,14985,1500317,15897
2234,2020-08-25,VI,14,155,14667,169
2235,2020-08-25,VT,6,682,122078,688
2236,2020-08-25,WA,0,0,1380050,0
2237,2020-08-25,WI,687,9349,1205410,10036
2238,2020-08-25,WV,83,4833,403570,4916
2239,2020-08-25,WY,31,4475,70528,4506
2240,2020-08-24,AK,70,2993,330503,3063
2241,2020-08-24,AL,1650,0,923319,-339
2242,2020-08-24,AR,320,7684,673704,2878
2243,2020-08-24,AS,0,0,1514,0
2244,2020-08-24,AZ,311,6042,1157222,6342
2245,2020-08-24,CA,4946,106510,10652487,111456
2246,2020-08-24,CO,260,0,650000,8444
2247,2020-08-24,CT,492,54854,1077716,55346
2248,2020-08-24,DC,49,3306,269401,3355
2249,2020-08-24,DE,47,1609,223501,1656
2250,2020-08-24,FL,2258,16265,4450717,18523
2251,2020-08-24,GA,2304,30993,2205181,33297
2252,2020-08-24,GU,87,793,33471,880
2253,2020-08-24,HI,244,2396,178824,2640
2254,2020-08-24,IA,358,1764,584098,2122
2255,2020-08-24,ID,191,1114,238585,1292
2256,2020-08-24,IL,1612,34543,3741608,36155
2257,2020-08-24,IN,1660,22576,1002038,24236
2258,2020-08-24,KS,1545,19097,386957,20642
2259,2020-08-24,KY,370,17363,767464,18788
2260,2020-08-24,LA,623,8020,1772481,8643
2261,2020-08-24,MA,662,37244,1591579,58462
2262,2020-08-24,MD,567,14130,1247593,14697
2263,2020-08-24,ME,21,3134,234856,3155
2264,2020-08-24,MI,878,20544,2554894,21422
2265,2020-08-24,MN,714,6776,1067810,11977
2266,2020-08-24,MO,869,4010,919712,4879
2267,2020-08-24,MP,0,0,12921,0
2268,2020-08-24,MS,511,7903,542662,8414
2269,2020-08-24,MT,60,22864,233673,22924
2270,2020-08-24,NC,1283,7940,2087695,9223
2271,2020-08-24,ND,126,1009,192007,2396
2272,2020-08-24,NE,109,1130,339600,1239
2273,2020-08-24,NH,27,2138,198229,3183
2274,2020-08-24,NJ,225,27589,2676812,27814
2275,2020-08-24,NM,94,14044,719300,14138
2276,2020-08-24,NV,409,2039,576677,2448
2277,2020-08-24,NY,408,61623,7683190,62031
2278,2020-08-24,OH,849,19462,2004200,20311
2279,2020-08-24,OK,357,0,812857,357
2280,2020-08-24,OR,218,3299,523337,3517
2281,2020-08-24,PA,426,9392,1562838,9818
2282,2020-08-24,PR,722,0,336590,722
2283,2020-08-24,RI,39,2064,254674,3508
2284,2020-08-24,SC,563,3578,896477,4141
2285,2020-08-24,SD,149,554,137463,703
2286,2020-08-24,TN,667,13494,2059354,14161
2287,2020-08-24,TX,2847,0,4670875,2847
2288,2020-08-24,UT,249,1269,626354,1518
2289,2020-08-24,VA,664,12429,1484287,13084
2290,2020-08-24,VI,24,100,14537,124
2291,2020-08-24,VT,9,1338,121390,1347
