,date,states,positive,negative,death,totalTestResults,deathIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
178,2020-04-02,56,252146,1075547,6496.0,1357148,1172,91058,28060,121237
179,2020-04-01,56,224086,984489,5324.0,1235911,1010,82981,25791,109215
180,2020-03-31,56,198295,901508,4314.0,1126696,890,87657,24853,116183
181,2020-03-30,56,173442,813851,3424.0,1010513,589,96706,22042,119396
182,2020-03-29,56,151400,717145,2835.0,891117,521,68187,19581,85907
183,2020-03-28,56,131819,648958,2314.0,805210,538,87375,19692,105158
184,2020-03-27,56,112127,561583,1776.0,700052,406,83781,19128,102415
185,2020-03-26,56,92999,477802,1370.0,597637,320,84311,17720,103818
186,2020-03-25,56,75279,393491,1050.0,493819,235,71728,12908,82609
187,2020-03-24,56,62371,321763,815.0,411210,234,58695,10769,69185
188,2020-03-23,56,51602,263068,581.0,342025,101,46894,11439,60629
189,2020-03-22,56,40163,216174,480.0,281396,146,36456,9125,47221
190,2020-03-21,56,31038,179718,334.0,234175,62,38628,6793,47414
191,2020-03-20,56,24245,141090,272.0,186761,69,30568,6147,39905
192,2020-03-19,56,18098,110522,203.0,146856,48,23323,4651,30168
193,2020-03-18,56,13447,87199,155.0,116688,32,22068,3089,27809
194,2020-03-17,56,10358,65131,123.0,88879,23,13945,2588,18441
195,2020-03-16,56,7770,51186,100.0,70438,21,16525,1748,20123
196,2020-03-15,51,6022,34661,79.0,50315,15,6553,1291,8300
197,2020-03-14,51,4731,28108,64.0,42015,9,3852,924,5722
198,2020-03-13,51,3807,24256,55.0,36293,4,8318,1072,10334
199,2020-03-12,51,2735,15938,51.0,25959,8,4750,671,5793
200,2020-03-11,51,2064,11188,43.0,20166,6,3421,509,4028
201,2020-03-10,51,1555,7767,37.0,16138,2,2184,387,2676
202,2020-03-09,51,1168,5583,35.0,13462,4,1534,292,1894
203,2020-03-08,51,876,4049,31.0,11568,4,716,198,935
204,2020-03-07,51,678,3333,27.0,10633,1,661,178,919
205,2020-03-06,37,500,2672,26.0,9714,6,723,112,873
206,2020-03-05,25,388,1949,20.0,8841,4,532,107,641
207,2020-03-04,18,281,1417,16.0,8200,2,971,139,1119
208,2020-03-03,6,142,446,14.0,7081,3,203,48,266
209,2020-03-02,6,94,243,11.0,6815,3,158,44,212
210,2020-03-01,6,50,85,8.0,6603,3,61,32,95
211,2020-02-29,4,18,24,5.0,6508,1,24,18,45
212,2020-02-28,4,0,0,4.0,6463,2,0,0,2
213,2020-02-27,4,0,0,2.0,6461,0,0,0,6445
214,2020-02-26,3,0,0,2.0,16,2,0,0,0
215,2020-02-25,3,0,0,0.0,16,0,0,0,0
216,2020-02-24,3,0,0,0.0,16,0,0,0,2
217,2020-02-23,3,0,0,0.0,14,0,0,0,0
218,2020-02-22,3,0,0,0.0,14,0,0,0,0
219,2020-02-21,3,0,0,0.0,14,0,0,0,0
220,2020-02-20,3,0,0,0.0,14,0,0,0,1
221,2020-02-19,3,0,0,0.0,13,0,0,0,0
222,2020-02-18,3,0,0,0.0,13,0,0,0,0
223,2020-02-17,3,0,0,0.0,13,0,0,0,0
224,2020-02-16,3,0,0,0.0,13,0,0,0,0
225,2020-02-15,3,0,0,0.0,13,0,0,0,0
226,2020-02-14,3,0,0,0.0,13,0,0,0,0
227,2020-02-13,3,0,0,0.0,13,0,0,0,0
228,2020-02-12,3,0,0,0.0,13,0,0,0,1
229,2020-02-11,3,0,0,0.0,12,0,0,0,0
230,2020-02-10,3,0,0,0.0,12,0,0,0,1
231,2020-02-09,2,0,0,0.0,11,0,0,0,0
232,2020-02-08,2,0,0,0.0,11,0,0,0,1
233,2020-02-07,2,0,0,0.0,10,0,0,0,0
234,2020-02-06,2,0,0,0.0,10,0,0,0,1
235,2020-02-05,2,0,0,0.0,9,0,0,0,0
236,2020-02-04,2,0,0,0.0,9,0,0,0,2
237,2020-02-03,2,0,0,0.0,7,0,0,0,3
238,2020-02-02,2,0,0,0.0,4,0,0,0,0
239,2020-02-01,2,0,0,0.0,4,0,0,0,0
240,2020-01-31,2,0,0,0.0,4,0,0,0,0
241,2020-01-30,2,0,0,0.0,4,0,0,0,0
242,2020-01-29,2,0,0,0.0,4,0,0,0,1
243,2020-01-28,2,0,0,0.0,3,0,0,0,0
244,2020-01-27,2,0,0,0.0,3,0,0,0,1
245,2020-01-26,2,0,0,0.0,2,0,0,0,0
246,2020-01-25,2,0,0,0.0,2,0,0,0,0
247,2020-01-24,2,0,0,0.0,2,0,0,0,0
248,2020-01-23,2,0,0,0.0,2,0,0,0,1
249,2020-01-22,2,0,0,0.0,1,0,0,0,0
